Q e6-f6;00N10000K100000000P10000000000000000000000000000P100R20000N2P100B10000000000P2P1000000R100Q100P200P20000P200B2R200000000K2000000

N f4-h3;00N10000K100000000P100000000000000000000000000N2P100R2000000P100B10000000000P2P1000000R100Q100P200P20000P200B2R200000000K2000000

Q f6-g7;00N10000K100000000P100000000000000000000000000N2P100R2000000P100B10000000000P2P1000000R1000000P200P20000P200Q1R200000000K2000000

R c4-c3;00N10000K100000000P10000000000000000R200000000N2P10000000000P100B10000000000P2P1000000R1000000P200P20000P200Q1R200000000K2000000

Q g7-h7;00N10000K100000000P10000000000000000R200000000N2P10000000000P100B10000000000P2P1000000R1000000P200P20000P20000Q100000000K2000000

P e7-e6;00N10000K100000000P10000000000000000R200000000N2P10000000000P100B10000000000P2P1000000R1P20000P200P20000000000Q100000000K2000000

R d6-d8#;00N10000K100000000P10000000000000000R200000000N2P10000000000P100B10000000000P2P100000000P20000P200P20000000000Q1000000R1K2000000
